SPC,FAI,项目,标准值,上公差,下公差
SPC A-1,FAI 1-1,Cutting Length,156.76,0.15,0.15
SPC A-2,FAI 1-2,Cutting Length,156.76,0.15,0.15
SPC A-3,FAI 1-3,Cutting Length,156.76,0.15,0.15
SPC A-4,FAI 1-4,Cutting Length,156.76,0.15,0.15
SPC B-1,FAI 2-1,Width,81.38,0.15,0.15
SPC B-2,FAI 2-2,Width,81.38,0.15,0.15
SPC B-3,FAI 2-3,Width,81.38,0.15,0.15
SPC B-4,FAI 2-4,Width,81.38,0.15,0.15
SPC C,FAI 3,2D barcord loction,3.68,0.8,0.8
SPC D,FAI 4,2D barcord loction,65.74,0.8,0.8
SPC E,FAI 5,2D barcord width,4,0.38,0.38
SPC F-1,FAI 6-1,Distance,5.27,0.15,0.15
SPC F-2,FAI 6-2,Distance,5.27,0.15,0.15
SPC G-1,FAI 7-1,Thickness,11.12,0.15,0.15
SPC G-2,FAI 7-2,Thickness,11.12,0.15,0.15
SPC G-3,FAI 7-3,Thickness,11.12,0.15,0.15
SPC G-4,FAI 7-4,Thickness,11.12,0.15,0.15
SPC J-1,FAI 10-1,Distance,9.09,0.15,0.15
SPC J-2,FAI 10-2,Distance,9.09,0.15,0.15
SPC K-1,FAI 11-1,Distance,72.28,0.15,0.15
SPC K-2,FAI 11-2,Distance,72.28,0.15,0.15
SPC M,FAI 13,Parallelism,0,0.1,0
SPC N,FAI 14,Parallelism,0,0.1,0
SPC O,FAI 15,Flatness,0,0.1,0
SPC P,FAI 16,Perpendicularity,0,0.2,0
SPC Q,FAI 17,Parallelism,0,0.2,0
SPC R,FAI 18,Perpendicularity,0,0.08,0
SPC S,FAI 19,Flatness,0,0.2,0
SPC AA-1,FAI 27-1,Line Profile(A＞B),0,0.2,0
SPC AA-1-MAX,FAI 27-1-MAX,"Line Profile (A＞B), MAX",0,0.1,0.1
SPC AA-1-MIN,FAI 27-1-MIN,"Line Profile (A＞B), MIN",0,0.1,0.1
SPC AA-2,FAI 27-2,Line Profile(A＞B),0,0.2,0
SPC AA-2-MAX,FAI 27-2-MAX,"Line Profile (A＞B), MAX",0,0.1,0.1
SPC AA-2-MIN,FAI 27-2-MIN,"Line Profile (A＞B), MIN",0,0.1,0.1
SPC AB-1,FAI 28-1,Line Profile(G＞H),0,0.2,0
SPC AB-1-MAX,FAI 28-1-MAX,"Line Profile (G＞H), MAX",0,0.1,0.1
SPC AB-1-MIN,FAI 28-1-MIN,"Line Profile (G＞H), MIN",0,0.1,0.1
SPC AB-2,FAI 28-2,Line Profile(G＞H),0,0.2,0
SPC AB-2-MAX,FAI 28-2-MAX,"Line Profile (G＞H), MAX",0,0.1,0.1
SPC AB-2-MIN,FAI 28-2-MIN,"Line Profile (G＞H), MIN",0,0.1,0.1
SPC AF,FAI 32,2D barcord height,4,0.38,0.38
SPC AG,FAI 33-1,Line Profile(G＞H),0,0.3,0
SPC AG-1-MAX,FAI 33-1-MAX,"Line Profile (G＞H), MAX",0,0.15,0.15
SPC AG-1-MIN,FAI 33-1-MIN,"Line Profile (G＞H), MIN",0,0.15,0.15
SPC AG-2,FAI 33-2,Line Profile(G＞H),0,0.3,0
SPC AG-2-MAX,FAI 33-2-MAX,"Line Profile (G＞H), MAX",0,0.15,0.15
SPC AG-2-MIN,FAI 33-2-MIN,"Line Profile (G＞H), MIN",0,0.15,0.15
SPC AH-1,FAI 34-1,Line Profile(C＞D),0,0.3,0
SPC AH-1-MAX,FAI 34-1-MAX,"Line Profile (C＞D), MAX",0,0.15,0.15
SPC AH-1-MIN,FAI 34-1-MIN,"Line Profile (C＞D), MIN",0,0.15,0.15
SPC AH-2,FAI 34-2,Line Profile(C＞D),0,0.3,0
SPC AH-2-MAX,FAI 34-2-MAX,"Line Profile (C＞D), MAX",0,0.15,0.15
SPC AH-2-MIN,FAI 34-2-MIN,"Line Profile (C＞D), MIN",0,0.15,0.15
SPC AI-1,FAI 35-1,Line Profile(D＞E),0,0.3,0
SPC AI-1-MAX,FAI 35-1-MAX,"Line Profile (D＞E), MAX",0,0.15,0.15
SPC AI-1-MIN,FAI 35-1-MIN,"Line Profile (D＞E), MIN",0,0.15,0.15
SPC AI-2,FAI 35-2,Line Profile(D＞E),0,0.3,0
SPC AI-2-MAX,FAI 35-2-MAX,"Line Profile (D＞E), MAX",0,0.15,0.15
SPC AI-2-MIN,FAI 35-2-MIN,"Line Profile (D＞E), MIN",0,0.15,0.15
SPC AJ-1,FAI 36-1,Line Profile(F＞F),0,0.3,0
SPC AJ-1-MAX,FAI 36-1-MAX,"Line Profile (F＞F), MAX",0,0.15,0.15
SPC AJ-1-MIN,FAI 36-1-MIN,"Line Profile (F＞F), MIN",0,0.15,0.15
SPC AJ-2,FAI 36-2,Line Profile(F＞F),0,0.3,0
SPC AJ-2-MAX,FAI 36-2-MAX,"Line Profile (F＞F), MAX",0,0.15,0.15
SPC AJ-2-MIN,FAI 36-2-MIN,"Line Profile (F＞F), MIN",0,0.15,0.15
SPC AK-1,FAI 37-1,Line Profile(F＞G),0,0.3,0
SPC AK-1-MAX,FAI 37-1-MAX,"Line Profile (F＞G), MAX",0,0.15,0.15
SPC AK-1-MIN,FAI 37-1-MIN,"Line Profile (F＞G), MIN",0,0.15,0.15
SPC AK-2,FAI 37-2,Line Profile(F＞G),0,0.3,0
SPC AK-2-MAX,FAI 37-2-MAX,"Line Profile (F＞G), MAX",0,0.15,0.15
SPC AK-2-MIN,FAI 37-2-MIN,"Line Profile (F＞G), MIN",0,0.15,0.15
SPC AL-1,FAI 38-1,Line Profile(H＞J),0,0.3,0
SPC AL-1-MAX,FAI 38-1-MAX,"Line Profile (H＞J), MAX",0,0.15,0.15
SPC AL-1-MIN,FAI 38-1-MIN,"Line Profile (H＞J), MIN",0,0.15,0.15
SPC AL-2,FAI 38-2,Line Profile(H＞J),0,0.3,0
SPC AL-2-MAX,FAI 38-2-MAX,"Line Profile (H＞J), MAX",0,0.15,0.15
SPC AL-2-MIN,FAI 38-2-MIN,"Line Profile (H＞J), MIN",0,0.15,0.15
SPC AM-1,FAI 39-1,Line Profile(J＞K),0,0.3,0
SPC AM-1-MAX,FAI 39-1-MAX,"Line Profile (J＞K), MAX",0,0.15,0.15
SPC AM-1-MIN,FAI 39-1-MIN,"Line Profile (J＞K), MIN",0,0.15,0.15
SPC AM-2,FAI 39-2,Line Profile(J＞K),0,0.3,0
SPC AM-2-MAX,FAI 39-2-MAX,"Line Profile (J＞K), MAX",0,0.15,0.15
SPC AM-2-MIN,FAI 39-2-MIN,"Line Profile (J＞K), MIN",0,0.15,0.15
SPC AN-1,FAI 40-1,Line Profile(K＞A),0,0.3,0
SPC AN-1-MAX,FAI 40-1-MAX,Line Profile (K＞A) MAX,0,0.15,0.15
SPC AN-1-MIN,FAI 40-1-MIN,Line Profile (K＞A) MIN,0,0.15,0.15
SPC AN-2,FAI 40-2,Line Profile(K＞A),0,0.3,0
SPC AN-2-MAX,FAI 40-2-MAX,Line Profile (K＞A) MAX,0,0.15,0.15
SPC AN-2-MIN,FAI 40-2-MIN,Line Profile (K＞A) MIN,0,0.15,0.15
SPC AQ,FAI 43,Perpendicularity,0,0.2,0
